fecha,hora,cliente,tipo,monto
2025-06-01,15:07,Laura,transferencia,83501.31
2025-06-01,13:24,Jose,transferencia,22231.88
2025-06-01,16:24,Juan,ingreso,50317.39
2025-06-01,16:32,Jose,inversion,78666.77
2025-06-01,10:44,Laura,transferencia,76690.36
2025-06-01,13:19,Laura,ingreso,89135.98
2025-06-01,9:08,Juan,ingreso,77335.93
2025-06-01,15:18,Laura,transferencia,55884.88
2025-06-01,15:42,Juan,transferencia,60551.95
2025-06-01,10:23,Pablo,egreso,57999.08
2025-06-01,11:03,Jose,egreso,55040.41
2025-06-01,12:53,Cecilia,inversion,15204.08
2025-06-01,13:33,Pablo,transferencia,43719.88
2025-06-01,16:48,Cecilia,transferencia,61114.33
2025-06-01,10:07,Ana,transferencia,62466.23
2025-06-01,8:39,Cecilia,egreso,70453.99
2025-06-01,14:18,Juan,inversion,25234.82
2025-06-01,10:19,Pablo,transferencia,13987.35
2025-06-01,11:32,Ana,ingreso,10425.26
2025-06-01,16:20,Ana,transferencia,22006.07
2025-06-01,8:41,Pablo,egreso,40825.57
2025-06-01,18:21,Ana,ingreso,49658.07
2025-06-01,12:06,Cecilia,inversion,26355.71
2025-06-01,9:11,Cecilia,transferencia,15831.21
2025-06-01,9:08,Juan,ingreso,10578.29
2025-06-01,10:24,Jose,inversion,29686.77
2025-06-01,9:31,Jose,inversion,23673.84
2025-06-01,18:11,Jose,egreso,6402.84
2025-06-01,14:48,Pablo,transferencia,51159.31
2025-06-01,14:45,Laura,inversion,65196.61
2025-06-01,12:15,Ana,inversion,61803.46
2025-06-01,14:02,Laura,ingreso,24188.9
2025-06-01,12:22,Juan,egreso,54653.37
2025-06-01,9:45,Jose,transferencia,3203.22
2025-06-01,16:22,Jose,ingreso,65445.1
2025-06-01,13:47,Jose,ingreso,37550.53
2025-06-01,18:07,Ana,ingreso,5499.29
2025-06-01,18:22,Laura,inversion,29259.92
2025-06-01,12:15,Cecilia,inversion,64988.62
2025-06-01,12:08,Jose,egreso,58961.1
2025-06-01,14:58,Pablo,egreso,90368.57
2025-06-01,11:03,Ana,ingreso,62432.09
2025-06-01,10:41,Cecilia,ingreso,30071.27
2025-06-01,15:54,Pablo,egreso,7113.98
2025-06-01,15:40,Jose,ingreso,10799.38
2025-06-01,15:29,Laura,inversion,86735.79
2025-06-01,15:16,Juan,transferencia,85892.82
2025-06-01,9:41,Pablo,ingreso,69602.72
2025-06-01,10:02,Juan,egreso,54373.69
2025-06-01,14:08,Ana,egreso,86109.59
2025-06-01,8:44,Laura,inversion,50215.54
2025-06-01,12:34,Pablo,inversion,57206.22
2025-06-01,18:59,Jose,ingreso,37104.67
2025-06-01,14:32,Pablo,transferencia,47622.62
2025-06-01,9:40,Pablo,egreso,99410.53
2025-06-01,13:51,Cecilia,inversion,22035.43
2025-06-01,11:56,Pablo,ingreso,40361.85
2025-06-01,11:54,Ana,transferencia,31672.64
2025-06-01,13:56,Juan,egreso,71222.43
2025-06-01,15:47,Pablo,ingreso,52892.79
2025-06-01,14:44,Cecilia,transferencia,90273.5
2025-06-01,18:35,Cecilia,ingreso,62399.4
2025-06-01,11:42,Jose,inversion,82044.02
2025-06-01,11:04,Pablo,egreso,82405.8
2025-06-01,13:19,Jose,egreso,49596.01
2025-06-01,8:09,Ana,egreso,3089.3
2025-06-01,10:34,Juan,transferencia,69214.87
2025-06-01,10:02,Cecilia,ingreso,13601.99
2025-06-01,18:49,Cecilia,transferencia,1301.63
2025-06-01,9:54,Juan,transferencia,79591.82
2025-06-01,16:51,Pablo,egreso,59198.68
2025-06-01,9:21,Jose,inversion,28788.54
2025-06-01,15:23,Pablo,ingreso,15081.96
2025-06-01,8:45,Juan,ingreso,62914.82
2025-06-01,11:56,Jose,inversion,55370.67
2025-06-01,16:30,Pablo,egreso,34393.19
2025-06-01,8:05,Laura,ingreso,83493.95
2025-06-01,12:11,Laura,ingreso,62360.25
2025-06-01,18:08,Laura,transferencia,99113.61
2025-06-01,8:35,Ana,inversion,54863.8
2025-06-01,8:56,Pablo,ingreso,95067.83
2025-06-01,17:51,Juan,transferencia,42419.63
2025-06-01,10:14,Jose,egreso,78178.18
2025-06-01,13:29,Juan,ingreso,7512.22
2025-06-01,16:51,Pablo,ingreso,16801.24
2025-06-01,12:17,Pablo,transferencia,51041.38
2025-06-01,18:26,Laura,ingreso,74201.29
2025-06-01,18:01,Jose,ingreso,8703.67
2025-06-01,14:34,Cecilia,ingreso,95897.33
2025-06-01,12:22,Pablo,egreso,33098.79
2025-06-01,17:55,Jose,egreso,8413.92
2025-06-01,15:58,Laura,egreso,27421.3
2025-06-01,15:14,Pablo,egreso,66569.27
2025-06-01,17:35,Jose,egreso,54321.88
2025-06-01,9:05,Jose,inversion,53946.55
2025-06-01,16:25,Laura,transferencia,72988.28
2025-06-01,14:28,Cecilia,inversion,50064.64
2025-06-01,15:52,Juan,inversion,57626.33
2025-06-01,9:02,Ana,inversion,35033.35
2025-06-01,11:44,Juan,transferencia,85033.77
