fecha,hora,cliente,tipo,monto
2025-06-04,17:58,Ana,transferencia,60601.85
2025-06-04,10:36,Jose,transferencia,41499.27
2025-06-04,15:27,Cecilia,transferencia,62264.94
2025-06-04,12:38,Ana,inversion,65226.61
2025-06-04,15:21,Pablo,egreso,34759.78
2025-06-04,9:09,Jose,inversion,5428.44
2025-06-04,12:14,Juan,transferencia,59077.89
2025-06-04,10:01,Cecilia,transferencia,61252.72
2025-06-04,17:35,Ana,transferencia,87669.04
2025-06-04,13:48,Juan,egreso,6290.18
2025-06-04,15:57,Ana,inversion,25949.89
2025-06-04,17:32,Pablo,egreso,27851.33
2025-06-04,9:20,Cecilia,egreso,63430.17
2025-06-04,18:47,Laura,inversion,43075.96
2025-06-04,17:32,Jose,transferencia,50934.06
2025-06-04,14:13,Pablo,inversion,7357.32
2025-06-04,11:46,Laura,inversion,86441.36
2025-06-04,15:21,Pablo,egreso,39199.1
2025-06-04,16:14,Pablo,inversion,29450.71
2025-06-04,11:30,Pablo,egreso,42305.38
2025-06-04,8:57,Juan,ingreso,27395.72
2025-06-04,14:32,Laura,transferencia,92707.13
2025-06-04,16:20,Pablo,egreso,36291.8
2025-06-04,10:08,Ana,transferencia,31864.35
2025-06-04,9:16,Cecilia,inversion,23203.0
2025-06-04,14:57,Ana,ingreso,45333.92
2025-06-04,10:03,Pablo,ingreso,78483.8
2025-06-04,8:08,Juan,transferencia,95201.38
2025-06-04,10:09,Laura,egreso,75036.01
2025-06-04,12:19,Juan,transferencia,59976.31
2025-06-04,11:26,Cecilia,egreso,4756.66
2025-06-04,9:54,Cecilia,inversion,12572.67
2025-06-04,8:58,Laura,transferencia,37029.7
2025-06-04,10:20,Juan,egreso,38678.47
2025-06-04,14:52,Pablo,egreso,9906.53
2025-06-04,16:37,Cecilia,ingreso,20929.14
2025-06-04,11:02,Jose,transferencia,31331.77
2025-06-04,11:40,Juan,transferencia,36961.67
2025-06-04,15:21,Pablo,inversion,94841.59
2025-06-04,8:16,Pablo,inversion,32015.77
2025-06-04,13:02,Jose,egreso,6697.1
2025-06-04,11:56,Jose,egreso,1818.89
2025-06-04,8:37,Laura,egreso,84282.62
2025-06-04,11:16,Ana,ingreso,89182.43
2025-06-04,15:42,Cecilia,egreso,25497.96
2025-06-04,10:06,Ana,egreso,59603.18
2025-06-04,8:14,Laura,egreso,80501.24
2025-06-04,18:01,Jose,egreso,24813.0
2025-06-04,16:37,Cecilia,transferencia,4953.88
2025-06-04,18:12,Jose,ingreso,56144.36
2025-06-04,11:31,Juan,ingreso,38247.83
2025-06-04,8:01,Jose,egreso,30075.73
2025-06-04,11:33,Cecilia,ingreso,16337.33
2025-06-04,16:00,Ana,inversion,72634.41
2025-06-04,10:58,Pablo,ingreso,57577.34
2025-06-04,18:01,Jose,egreso,37493.9
2025-06-04,10:27,Cecilia,transferencia,11600.27
2025-06-04,15:33,Juan,egreso,19059.19
2025-06-04,16:27,Laura,egreso,89183.78
2025-06-04,12:26,Jose,transferencia,80026.53
2025-06-04,10:12,Jose,egreso,50359.94
2025-06-04,8:37,Cecilia,egreso,74577.67
2025-06-04,17:49,Juan,transferencia,68229.55
2025-06-04,12:50,Jose,ingreso,98859.12
2025-06-04,15:47,Jose,egreso,11229.32
2025-06-04,11:07,Jose,transferencia,60564.27
2025-06-04,8:15,Pablo,transferencia,5363.91
2025-06-04,16:15,Pablo,transferencia,3424.37
2025-06-04,8:02,Laura,ingreso,24166.61
2025-06-04,8:55,Pablo,egreso,69152.16
2025-06-04,9:12,Laura,transferencia,81901.3
2025-06-04,17:19,Cecilia,inversion,91141.92
2025-06-04,17:59,Pablo,ingreso,41664.14
2025-06-04,8:35,Jose,ingreso,42547.15
2025-06-04,18:41,Jose,inversion,99757.52
2025-06-04,14:27,Jose,inversion,85302.15
2025-06-04,13:56,Laura,egreso,22686.14
2025-06-04,14:45,Pablo,egreso,5064.86
2025-06-04,16:42,Laura,transferencia,26283.95
2025-06-04,15:37,Ana,ingreso,88159.27
2025-06-04,16:46,Ana,ingreso,89466.19
2025-06-04,18:14,Juan,inversion,7311.02
2025-06-04,15:34,Laura,transferencia,76415.75
2025-06-04,17:58,Pablo,inversion,60098.5
2025-06-04,10:40,Laura,egreso,27054.77
2025-06-04,13:09,Pablo,egreso,77096.28
2025-06-04,9:38,Laura,egreso,45665.03
2025-06-04,15:47,Ana,egreso,78186.23
2025-06-04,11:22,Laura,egreso,96574.48
2025-06-04,9:53,Juan,transferencia,75722.58
2025-06-04,18:04,Cecilia,transferencia,29336.69
2025-06-04,16:11,Jose,transferencia,82687.73
2025-06-04,18:05,Juan,transferencia,4073.13
2025-06-04,13:56,Pablo,transferencia,33464.27
2025-06-04,12:21,Laura,transferencia,82511.89
2025-06-04,9:44,Ana,transferencia,48107.39
2025-06-04,14:37,Pablo,egreso,94369.57
2025-06-04,17:18,Pablo,transferencia,2938.4
2025-06-04,12:34,Laura,ingreso,44201.37
2025-06-04,14:46,Pablo,inversion,73884.94
